EmployeeID,ManagerID,FirstName,MiddleName,LastName,Suffix,JobTitle,NationalIDNumber,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,PhoneNumber,PhoneNumberType,EmailAddress
259,250,Ben,T,Miller,,Buyer,20269531,1967-07-05,M,M,4/9/2004 0:00,0,55,47,151-555-0113,Work,ben0@adventure-works.com
278,274,Garrett,R,Vargas,,Sales Representative,234474252,1969-03-07,M,M,7/1/2005 0:00,1,33,36,922-555-0165,Work,garrett1@mapleleafmail.ca
204,26,Gabe,B,Mares,,Production Technician - WC40,440379437,1982-06-11,M,M,4/9/2003 0:00,0,57,48,310-555-0117,Work,gabe0@adventure-works.com
78,26,Reuben,H,D'sa,,Production Supervisor - WC40,370989364,1981-09-27,M,M,1/16/2003 0:00,0,72,56,191-555-0112,Work,reuben0@adventure-works.com
255,250,Gordon,L,Hee,,Buyer,466142721,1960-12-30,M,M,2/12/2004 0:00,0,52,46,230-555-0144,Cell,gordon0@adventure-works.com
66,26,Karan,R,Khanna,,Production Technician - WC60,834186596,1964-04-07,S,M,1/23/2004 0:00,0,28,34,447-555-0186,Work,karan0@hotmail.com
270,263,François,P,Ajenstat,,Database Administrator,643805155,1969-06-17,S,M,2/18/2003 0:00,1,67,53,785-555-0110,Cell,françois0@yahoo.com
22,16,Sariya,E,Harnpadoungsataya,,Marketing Specialist,95958330,1981-06-21,S,M,1/13/2003 0:00,0,45,42,399-555-0176,Work,sariya0@adventure-works.com
161,26,Kirk,J,Koenigsbauer,,Production Technician - WC45,275962311,1979-03-10,S,M,1/16/2003 0:00,0,74,57,669-555-0150,Work,kirk0@hotmail.com
124,250,Kim,T,Ralls,,Stocker,420776180,1978-06-01,S,F,1/27/2003 0:00,0,98,69,309-555-0129,Work,kim0@adventure-works.com
10,25,Michael,,Raheem,,Research and Development Manager,879342154,1979-01-01,M,M,6/4/2003 0:00,1,16,64,330-555-2568,Work,michael6@adventure-works.com
248,249,Mike,K,Seamans,,Accountant,480951955,1973-08-01,S,M,4/9/2003 0:00,1,59,49,927-555-0150,Work,mike0@safe-mail.net
175,26,Reed,T,Koch,,Production Technician - WC30,259388196,1983-02-09,M,M,3/6/2003 0:00,0,23,31,678-555-0110,Work,reed0@hotmail.com
155,26,Fadi,K,Fakhouri,,Production Technician - WC20,212801092,1983-03-19,S,M,2/5/2003 0:00,0,16,28,935-555-0116,Work,fadi0@adventure-works.com
144,26,Paul,R,Singh,,Production Technician - WC20,886023130,1984-12-05,M,M,2/18/2003 0:00,0,6,23,727-555-0112,Cell,paul1@safe-mail.net
192,26,Brenda,M,Diaz,,Production Supervisor - WC40,634335025,1977-03-31,M,F,4/6/2003 0:00,0,71,55,142-555-0139,Work,brenda0@adventure-works.com
166,26,Jack,S,Richins,,Production Supervisor - WC30,60114406,1977-07-23,S,M,3/25/2003 0:00,0,68,54,552-555-0111,Work,jack0@adventure-works.com
