EmployeeID,ManagerID,FirstName,MiddleName,LastName,JobTitle,NationalIDNumber,BirthDate,MaritalStatus,Gender,HireDate,PhoneNumber,EmailAddress
259,250,Ben,T,Miller,Buyer,20269531,7/5/1967 0:00,M,M,4/9/2004 0:00,151-555-0113,ben0@adventure-works.com
278,274,Garrett,R,Vargas,Sales Representative,234474252,3/7/1969 0:00,M,M,7/1/2005 0:00,922-555-0165,garrett1@mapleleafmail.ca
204,26,Gabe,B,Mares,Production Technician - WC40,440379437,6/11/1982 0:00,M,M,4/9/2003 0:00,310-555-0117,gabe0@adventure-works.com
78,26,Reuben,H,D'sa,Production Supervisor - WC40,370989364,9/27/1981 0:00,M,M,1/16/2003 0:00,191-555-0112,reuben0@adventure-works.com
255,250,Gordon,L,Hee,Buyer,466142721,12/30/1960 0:00,M,M,2/12/2004 0:00,230-555-0144,gordon0@adventure-works.com
66,26,Karan,R,Khanna,Production Technician - WC60,834186596,4/7/1964 0:00,S,M,1/23/2004 0:00,447-555-0186,karan0@hotmail.com
270,263,François,P,Ajenstat,Database Administrator,643805155,6/17/1969 0:00,S,M,2/18/2003 0:00,785-555-0110,françois0@yahoo.com
22,16,Sariya,E,Harnpadoungsataya,Marketing Specialist,95958330,6/21/1981 0:00,S,M,1/13/2003 0:00,399-555-0176,sariya0@adventure-works.com
161,26,Kirk,J,Koenigsbauer,Production Technician - WC45,275962311,3/10/1979 0:00,S,M,1/16/2003 0:00,669-555-0150,kirk0@hotmail.com
124,250,Kim,T,Ralls,Stocker,420776180,6/1/1978 0:00,S,F,1/27/2003 0:00,309-555-0129,kim0@adventure-works.com
10,25,Michael,,Raheem,Research and Development Manager,879342154,1/1/1979 0:00,M,M,6/4/2003 0:00,330-555-2568,michael6@adventure-works.com
248,249,Mike,K,Seamans,Accountant,480951955,8/1/1973 0:00,S,M,4/9/2003 0:00,927-555-0150,mike0@safe-mail.net
175,26,Reed,T,Koch,Production Technician - WC30,259388196,2/9/1983 0:00,M,M,3/6/2003 0:00,678-555-0110,reed0@hotmail.com
155,26,Fadi,K,Fakhouri,Production Technician - WC20,212801092,3/19/1983 0:00,S,M,2/5/2003 0:00,935-555-0116,fadi0@adventure-works.com
144,26,Paul,R,Singh,Production Technician - WC20,886023130,12/5/1984 0:00,M,M,2/18/2003 0:00,727-555-0112,paul1@safe-mail.net
192,26,Brenda,M,Diaz,Production Supervisor - WC40,634335025,3/31/1977 0:00,M,F,4/6/2003 0:00,142-555-0139,brenda0@adventure-works.com
166,26,Jack,S,Richins,Production Supervisor - WC30,60114406,7/23/1977 0:00,S,M,3/25/2003 0:00,552-555-0111,jack0@adventure-works.com
112,26,John,P,Evans,Production Technician - WC50,981597097,7/1/1972 0:00,S,M,2/2/2003 0:00,172-555-0130,john1@gmail.com
203,26,Ken,L,Myer,Production Technician - WC40,693168613,6/29/1975 0:00,M,M,3/28/2003 0:00,949-555-0174,ken1@adventure-works.com
245,249,Barbara,C,Moreland,Accountant,363910111,2/4/1970 0:00,M,F,3/22/2003 0:00,822-555-0145,barbara1@adventure-works.com
257,250,Eric,S,Kurjan,Buyer,381073001,10/19/1966 0:00,S,M,2/28/2004 0:00,265-555-0195,eric2@hotmail.com
244,249,Bryan,A,Walton,Accounts Receivable Specialist,931190412,10/22/1978 0:00,S,M,2/25/2003 0:00,935-555-0199,bryan1@aol.com
69,26,Steve,F,Masters,Production Technician - WC60,752513276,5/7/1985 0:00,S,M,3/19/2003 0:00,712-555-0170,steve0@adventure-works.com
210,26,Belinda,M,Newman,Production Technician - WC45,20244403,10/19/1963 0:00,S,F,3/24/2003 0:00,319-555-0126,belinda0@adventure-works.com
163,26,Alex,M,Nayberg,Production Technician - WC45,377784364,5/14/1984 0:00,M,M,3/12/2003 0:00,819-555-0198,alex0@adventure-works.com
118,26,Don,L,Hall,Production Technician - WC50,222400012,7/14/1965 0:00,M,M,3/17/2003 0:00,100-555-0174,don0@adventure-works.com
176,26,David,Oliver,Lawrence,Production Technician - WC30,860123571,10/25/1979 0:00,M,M,3/18/2003 0:00,118-555-0177,david7@adventure-works.com
147,26,Sandra,,Reátegui Alayo,Production Technician - WC30,604664374,12/6/1969 0:00,M,F,1/27/2003 0:00,896-555-0168,sandra0@adventure-works.com
138,26,Samantha,H,Smith,Production Technician - WC20,25011600,12/23/1981 0:00,M,F,3/8/2003 0:00,587-555-0114,samantha0@safe-mail.net
95,26,Jim,H,Scardelis,Production Technician - WC50,674171828,10/9/1980 0:00,M,M,1/20/2003 0:00,679-555-0113,jim0@safe-mail.net
231,227,Jo,L,Berry,Janitor,153479919,5/25/1948 0:00,M,F,4/7/2004 0:00,228-555-0159,jo1@adventure-works.com
86,26,Ryan,L,Cornelsen,Production Technician - WC40,769680433,7/15/1966 0:00,M,M,2/6/2003 0:00,208-555-0114,ryan0@adventure-works.com
181,26,Michael,T,Hines,Production Technician - WC20,545337468,12/19/1978 0:00,S,M,1/10/2003 0:00,218-555-0126,michael0@adventure-works.com
