,EmployeeID,ManagerID,FirstName,MiddleName,LastName,JobTitle,NationalIDNumber,BirthDate,MaritalStatus,Gender,HireDate,PhoneNumber,EmailAddress
0,259,250,Ben,T,Miller,Buyer,b'gAAAAABjUQoGvBt6oRAIAldfTwPac8s7yk-GyfHUSFC6-qPnBPg9cHmO-1WAxr9vrzN9gshXK-QRGgcYUPGJ1eOMWmu60g25dQ==',7/5/1967 0:00,M,M,4/9/2004 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A1FD90>,zachary91@example.org
1,278,274,Garrett,R,Vargas,Sales Representative,b'gAAAAABjUQoGAfOg-qE6gaKEVLgEC1NePGnHRnDriXzGc7X0AMX6H8dOibIxMZdQDXMxjlLDhXG946bNtAxKnnMfzF2_jQQIxA==',3/7/1969 0:00,M,M,7/1/2005 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A1FEB0>,matthew20@example.net
2,204,26,Gabe,B,Mares,Production Technician - WC40,b'gAAAAABjUQoGCoFx237zah5SfkwzdJwYloJ89Be6JpqHFesW7so4uARY3kAYHl56w9Hr6j_6grLjnOq2RhlAgq0j66DBeFeWZA==',6/11/1982 0:00,M,M,4/9/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A1FF40>,ramosmichelle@example.org
3,78,26,Reuben,H,D'sa,Production Supervisor - WC40,b'gAAAAABjUQoGzGcJPANn-OffoJPwG9aX5-NhxCy0OnJY1wXZ-0ZR7L4I-T56qUn0S3Z4cngWVBMaCy86XEMN8Mjnb_2hci-5Qw==',9/27/1981 0:00,M,M,1/16/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64040>,michael56@example.org
4,255,250,Gordon,L,Hee,Buyer,b'gAAAAABjUQoGDJkndSRLlppYJCx38Lj_6WMTQCOMrtQMHS232iy1J7r7BuYnDcPQBjAyLr3mWYa4LHehRb3sa5XbWgCkeICRvg==',12/30/1960 0:00,M,M,2/12/2004 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A640D0>,ahurley@example.org
5,66,26,Karan,R,Khanna,Production Technician - WC60,b'gAAAAABjUQoGbQAEoj0cdUoOLBa5vH4Hpl1ZD0xZ0Jzt_iFCtaC6MbtWbOJ6Z0emaWwLF5zRPqrQ8Y8geFNReq08D4K2TqMWJw==',4/7/1964 0:00,S,M,1/23/2004 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64160>,robert62@example.org
6,270,263,François,P,Ajenstat,Database Administrator,b'gAAAAABjUQoGGNs3whUqP55u3MPcaxPjnkRpAZLtqWTTjRWyHyUWHzhLpQ22-qJppFjjPGbR9Mn3si7zzNkzeXSasOM11wBH7A==',6/17/1969 0:00,S,M,2/18/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A641F0>,gregorymartin@example.com
7,22,16,Sariya,E,Harnpadoungsataya,Marketing Specialist,b'gAAAAABjUQoGHUJzklmhr_9bKQROC9ZJO3jvZcxHgKw5rlDV_xZ6uQCRApy0wpB5JI8vFzslE18mwN3xu2JifeFKECx90ARFOA==',6/21/1981 0:00,S,M,1/13/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64280>,kevinpowers@example.com
8,161,26,Kirk,J,Koenigsbauer,Production Technician - WC45,b'gAAAAABjUQoGI6Aw8kCXByh0AWQ8sAkPSBcRWhsPeTcuS7dr0c6ClS2rsszNuarWPVHIZJCBr4niE8ID5dC8uwwQz5FBdfnxMw==',3/10/1979 0:00,S,M,1/16/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64310>,kevin90@example.org
9,124,250,Kim,T,Ralls,Stocker,b'gAAAAABjUQoGsKL4aM8pFtF3swu0BiGVKRooivsTRXIoY6um4S2u_fBQNlJUn8NLaam_atEumTc5TZNWQZZvB9vvNL_FOp6NPg==',6/1/1978 0:00,S,F,1/27/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A643A0>,ngarcia@example.com
10,10,25,Michael,,Raheem,Research and Development Manager,b'gAAAAABjUQoGnt-7kIw-HzmwD38Hmife6U_aPrTRmar8UlSW1NWmCHN93QHdt9uxNw9pndCQcd7NJXQpexoR81dOYdFFbgkAFQ==',1/1/1979 0:00,M,M,6/4/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64430>,brittany75@example.org
11,248,249,Mike,K,Seamans,Accountant,b'gAAAAABjUQoG72hoBlH_s3Rx88zoP08WmpkNM49r_Fko6JY332QR5Uy-Rih1J67mxkFsbuN1QbtMLKnpkYgqgRS-bI6T9f-8MQ==',8/1/1973 0:00,S,M,4/9/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A644C0>,kevincarter@example.com
12,175,26,Reed,T,Koch,Production Technician - WC30,b'gAAAAABjUQoGXXrzSOkkaslt2yxI9eCrzrklT8O9v7oaGtIDEdCD8Akh8euPxNbk-renNpAD2BBalhFZGdxfb1AFdjyR-_IoNQ==',2/9/1983 0:00,M,M,3/6/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64550>,mary10@example.net
13,155,26,Fadi,K,Fakhouri,Production Technician - WC20,b'gAAAAABjUQoGh31qhwF4RPvmlZKfRnR8-9ytmQOqnHW3jt37GkY1cs-U4czA1SxZNt0I6PSUDoJgQyx16Mu8Xz8Gyem4G2PLog==',3/19/1983 0:00,S,M,2/5/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A645E0>,juan34@example.net
14,144,26,Paul,R,Singh,Production Technician - WC20,b'gAAAAABjUQoG_N1hJdDzXLTt2PwZ04BtFBPjRDsIJq6GmeNGWxO-HcoQQbmpkAjnY5toH16vDI9Yr_JXd1aI0B6XBnZGdkNtaQ==',12/5/1984 0:00,M,M,2/18/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64670>,beth28@example.com
15,192,26,Brenda,M,Diaz,Production Supervisor - WC40,b'gAAAAABjUQoGEvfgImHuEj5VeNYtx-3-zv5JaESKK-YJNqdZilyCHIH3wLnA-Y916QsKWz5PNIWAOQXeShp81C9cYCmQ8pCK6g==',3/31/1977 0:00,M,F,4/6/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64700>,cainmackenzie@example.com
16,166,26,Jack,S,Richins,Production Supervisor - WC30,b'gAAAAABjUQoGcUA5FMMfN947XkYMpbMPtu5ZK-Asa8JM9P8_cujt_exWzqnhjtvA3DxPMTyECcPw6YF90inU6x5sPdcekuGI3A==',7/23/1977 0:00,S,M,3/25/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64790>,derrick05@example.com
17,112,26,John,P,Evans,Production Technician - WC50,b'gAAAAABjUQoGUCTBLv1dwZ7NN6xYeVJdawb4lFwCI6LKlEnlmTqxlbL4jVTNQ0mZs0XvX6vhW0Lg82GqOiaDZj-16u4UQ0MhIw==',7/1/1972 0:00,S,M,2/2/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64820>,gjohnson@example.com
18,203,26,Ken,L,Myer,Production Technician - WC40,b'gAAAAABjUQoGwe0nPaSh_hYnctTR72d9l3IgvSsU8hBoCVueU0Uq8kYasHnfvM8kHVzikX1hEgKStI2gGQLv2oEKEITTnoGC6w==',6/29/1975 0:00,M,M,3/28/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A648B0>,garrisonjill@example.com
19,245,249,Barbara,C,Moreland,Accountant,b'gAAAAABjUQoGfnpHBqEoEFc_51A3o75uPu5kwd52Vms9vSV1SxuLmVS8eAsyE7H2grSrKZNDofrYeiv-CqZGptNf_Rypbk1Bsw==',2/4/1970 0:00,M,F,3/22/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64940>,rasmussendana@example.org
20,257,250,Eric,S,Kurjan,Buyer,b'gAAAAABjUQoG7iSiP5KEtDBJqGZf4GUE1uvKB1a1JidFbW2fXWJH26fkLuHG4VrIOAQrz--IDkhuus5u872g3S0Y1qNOAVSW-A==',10/19/1966 0:00,S,M,2/28/2004 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A649D0>,benjaminbenjamin@example.com
21,244,249,Bryan,A,Walton,Accounts Receivable Specialist,b'gAAAAABjUQoGBPeCVxy5VCph-AkeG8_vOoTah45mzh8fyRtvLn2yjdz5rvZ-H2UxkRqcPS7uo0iKqHKYMpdrIT3fv6ZUH3Ypng==',10/22/1978 0:00,S,M,2/25/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64A60>,maryrice@example.net
22,69,26,Steve,F,Masters,Production Technician - WC60,b'gAAAAABjUQoG1tdZaL8BbvNm2S88YAG4VcGugu659t1UWkIeINO8lRb_pc3mgSZVRuVZTM1m75A1ilrrZYNAs91ZIp5Tpxmlfg==',5/7/1985 0:00,S,M,3/19/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64AF0>,orosario@example.net
23,210,26,Belinda,M,Newman,Production Technician - WC45,b'gAAAAABjUQoGzUFAv1kvBNQYI_-PkYNr7s_cwr_XcDZ6metRb6BJqNjK6EYlMIFkFY86LHX4rgTYcMBJp8tiFgRXMBEZU7xvWg==',10/19/1963 0:00,S,F,3/24/2003 0:00,<function SecurePII.to_hash.<locals>.<lambda>.<locals>.<lambda> at 0x00000147B0A64B80>,dnewton@example.com
