,EmployeeID,ManagerID,FirstName,MiddleName,LastName,JobTitle,NationalIDNumber,BirthDate,MaritalStatus,Gender,HireDate,PhoneNumber,EmailAddress
0,259,250,Ben,T,Miller,Buyer,b'gAAAAABjUV1ZudMWSd7zOkTjBDxkXX4tt5gsH72nVk3yMxlB8zc5_Sol5xeHvBSlfET9i4VGZOv0V3tawX8sAkE2rzdSrHOLbQ==',7/5/1967 0:00,M,M,4/9/2004 0:00,ce46e3f9e0958828f240f2452172425c94eec6460dda2d9b3e1c132f3fac265e,mariaunderwood@example.org
1,278,274,Garrett,R,Vargas,Sales Representative,b'gAAAAABjUV1Zjqo-u1L_AnXVNIf3_2-PxnS776gKoh7HI1U6FfOCj76C2qlPt8UTMjnwaUWECoOMJlKrH1BIOMfzKs_OY3gHSA==',3/7/1969 0:00,M,M,7/1/2005 0:00,88c4ee4bf17925b70f18f414166cb96451f0d75227c619fc513c6dcc795d277c,qdelgado@example.net
2,204,26,Gabe,B,Mares,Production Technician - WC40,b'gAAAAABjUV1Z-jkZpCiMHztVmOEIHudUNEhrHgjIGNFDrfJkxXLQN8kmgBlJnHsLy_mCfJ2OQcU-jdcqcvvLmxLzL0szhe5MYg==',6/11/1982 0:00,M,M,4/9/2003 0:00,1c829784995dcfb9f489b414399c5c9f4ab085b9888702682b43405dad5e9e35,ymartinez@example.net
3,78,26,Reuben,H,D'sa,Production Supervisor - WC40,b'gAAAAABjUV1ZsyzlHpwfTBsrgNH_DmKnXS2LUHTaCWCyNbPUfZ-ZFb2Hqo0aFnmSnRHIPaFWn-dZi2L6PojViC2dWdYcmEwO4w==',9/27/1981 0:00,M,M,1/16/2003 0:00,b2de944ca0dfc4217380957ab7d047d1c1d22eb25910c75b7d6c692a26d07283,amy73@example.org
4,255,250,Gordon,L,Hee,Buyer,b'gAAAAABjUV1Z4LxOgM6Kc_Ph8NaZov27rfSvGnMU4yox1kRVkVBaXNr7_j8zD17Q6tbztFAHYs0T0p8qDKT-2ihOxlcfuhevBA==',12/30/1960 0:00,M,M,2/12/2004 0:00,0c83d2fb5ecdce3340e26e870ff7b1274ecf237c455b1c2da5e97b0ee4d59b02,tiffanyallen@example.net
5,66,26,Karan,R,Khanna,Production Technician - WC60,b'gAAAAABjUV1ZFMTHzxaxrQ1fUxT0X46jSaOStwGbMNC3JsJeiXGpT-xwa-CAuGhUBes3MWCdS1xdWXn4QyhzsTA5q-JU2JoD9g==',4/7/1964 0:00,S,M,1/23/2004 0:00,b792b8921e103d8dc11e64584727cbeb085495e50ea05dc388af7e850445d15e,charlesbradford@example.com
6,270,263,François,P,Ajenstat,Database Administrator,b'gAAAAABjUV1ZXuzZp9yIGnrSCIvWYEchG2aKGQpNm_rsz1FXIE9pkYHAawKVa0WM4QkZsO3-fDsW5oAvZdaRfOMqsHBTz8TGFA==',6/17/1969 0:00,S,M,2/18/2003 0:00,50347e1c699bd1246af7ee9650a02c6969fc07dc5483c9c10a06cca2ac40ad8b,michelle68@example.net
7,22,16,Sariya,E,Harnpadoungsataya,Marketing Specialist,b'gAAAAABjUV1ZvxEDCcUJJxaDEyWyr9T9aDw2eIil2wlMP7vy8PgElLwGRlW7tXP3cnwZiJ_idJQV8RXRS_rjxoX2-MS43Lq8_A==',6/21/1981 0:00,S,M,1/13/2003 0:00,739175649c0920faca6b13abe02f16cdf0cd4787e8cb82b5cbb68baabf4bbbe6,crossjessica@example.net
8,161,26,Kirk,J,Koenigsbauer,Production Technician - WC45,b'gAAAAABjUV1Zl3Cykb3Vhbhd5Sadb9gyhFTq6LID9qlnLjAWBVFPR-b0zCCQAF_b5DUqNaTbd70XllcNlBfHIvS8rvVjZSgO1Q==',3/10/1979 0:00,S,M,1/16/2003 0:00,ac5c64fd29e00195fa82abf79bfa1b0e90435c36b40e933bb4fe8e7906651098,johnallen@example.org
9,124,250,Kim,T,Ralls,Stocker,b'gAAAAABjUV1ZPVbZznys00DL5qRmPxCZ8nboSUbsCuqPiyBKkBNMDigTy9jXqZ3NMEt0MSOa8Tgmh2aYK4s-ujOl6BvYioliQw==',6/1/1978 0:00,S,F,1/27/2003 0:00,d6b251c2437d975a1af046033f8d4c2c6f1f34928bad36f873e97dfb81650fcb,brownjanet@example.org
10,10,25,Michael,,Raheem,Research and Development Manager,b'gAAAAABjUV1ZlbbeOJ9GRpBD0AxmXspJzZRcmoYf16Fd7z4hWTuNjEI5v6QrUV5vqb_9K-5NB1W44_wy8Cr7dweFbHGePg2VsQ==',1/1/1979 0:00,M,M,6/4/2003 0:00,87d255a87f2cb2fb40abfc4c2aed3e2f213c74f2ebf8c1310bce73256f146889,molly93@example.net
11,248,249,Mike,K,Seamans,Accountant,b'gAAAAABjUV1ZlerVRpGudOckQEgj3hHwg5bAdZHA1v9YOGPVzEx9oSMbOiSR47et_pSor-dzJqeyNHK4CUYEgIp2BHdBmc1ZeA==',8/1/1973 0:00,S,M,4/9/2003 0:00,573c9453a1d1e0abe662cc85b3087c1188d1ede28fc6a1857313fd26d2a5683d,wnichols@example.org
12,175,26,Reed,T,Koch,Production Technician - WC30,b'gAAAAABjUV1ZtbEsAvRT6jEHz24oAOnTgvYLE3Zp9z0yd4Wg0EW_5QMHoDEdRcOKUhe1PwhhHlC-8UC6YBegrKQRJq2yS9gGEQ==',2/9/1983 0:00,M,M,3/6/2003 0:00,d236b77de6717ca2def3a1668e03a29224de937e382ac94c279fe5396462b6be,robertsbethany@example.net
13,155,26,Fadi,K,Fakhouri,Production Technician - WC20,b'gAAAAABjUV1ZKxvOvrsaBMtZBGRLlk-1v_mCFiEmAnK-sEj8HZUX-4TyAsbePZmgMhs2b-glXfhgtd29WedTuwuRXx77Sw8KUg==',3/19/1983 0:00,S,M,2/5/2003 0:00,9f6ed93571a7ebca8d951cb0d15f462ca4816d995e4c526f86340b57775d9712,mezalisa@example.org
14,144,26,Paul,R,Singh,Production Technician - WC20,b'gAAAAABjUV1ZJa1JZhHqly5fjbVAvu_lNkIUsTbjMI92KUUgi1xmbmnJK7FgOCIAX_SUcN1NZiTrQGhlWawwfWmlGpaAjnBqyg==',12/5/1984 0:00,M,M,2/18/2003 0:00,6230c31ec95dfcdeaf0c22c6a1c955ba9d40d9fc88f99f430c2b68148e76e66a,rbell@example.net
15,192,26,Brenda,M,Diaz,Production Supervisor - WC40,b'gAAAAABjUV1ZO4qvmbWRTT5vml5urRDC2e-Pf8UsscNSaTGVVXLorzhtWO-7wRrrR_dP7KoTofXQUhel224iBvNi06qtoHokaA==',3/31/1977 0:00,M,F,4/6/2003 0:00,7e2c8a890546a77f3912c836305843b63b6e44982bbefd396c500b6645d0fe0b,jwilkinson@example.org
16,166,26,Jack,S,Richins,Production Supervisor - WC30,b'gAAAAABjUV1Zp-8f7kY44gArxhFsngufv93vRSwhq7PT-qPbBbL3jnJejYAdBrG8kSEsPOzuh-q8JDQlQsg9kgvit5r2I4J7Ag==',7/23/1977 0:00,S,M,3/25/2003 0:00,6b116090163867f6c30642c4e22bffd0ac23cc6682ad04370bce150d9848a931,ngonzalez@example.org
17,112,26,John,P,Evans,Production Technician - WC50,b'gAAAAABjUV1Z8eWY6-zKjcUFfgfyE57m_GaQ5V0zZ9EUrJVmJHFREBQDBVwFqLRCUFK42txWcZ5__ymTIb-tuTyx1k0CCXVICQ==',7/1/1972 0:00,S,M,2/2/2003 0:00,2d6ac82aaa52015600fa985af47891e9ef3548847c803d4d95c99fa32f64eb9b,billyjefferson@example.com
18,203,26,Ken,L,Myer,Production Technician - WC40,b'gAAAAABjUV1ZPikmJvfV8fg6z_S_ydL5YJSeuIPebOWD_vDk8kQyYqvVFrFGOU4Qudqan_FR01m3Gail9xpsvdWRFria2Yjc1g==',6/29/1975 0:00,M,M,3/28/2003 0:00,8ec559b6db5d3675c0e89b64b8697e3ba9d98c4eea3dad56c27fd46dfc518a15,richardhenderson@example.org
19,245,249,Barbara,C,Moreland,Accountant,b'gAAAAABjUV1ZyF4mDwSjn25Gi-1vUGrUeqmVo98KYWelObnioYPNyKxnk8PorcEvS8u31ZiTYHBPtCnIXpMmc9zEoBASAAzNGg==',2/4/1970 0:00,M,F,3/22/2003 0:00,45206e69181b62438c0d459070c627bcd20c083693dbfdfb24ee6e515af8f43e,uburns@example.org
20,257,250,Eric,S,Kurjan,Buyer,b'gAAAAABjUV1ZcrgY3rYsY5cnE_Yy5OntgVq7Ma0ECHUGnul8VD1uSBOKJfrHhpaiIw5F9OHJugI7TAEdbC0vU2gxDQGgEPySJg==',10/19/1966 0:00,S,M,2/28/2004 0:00,3d23fc9e492ae75eaef526e5aa9a4f6624d3d4bb96cd5ea962b968ee52c8d3bc,amyweeks@example.net
